id,created_at,favorite_count,retweet_count,text
1615758675528003585,2023-01-18 17:11:02+00:00,206089,11713,First win of the series and superb knock by Shubman 🙌🇮🇳🏏 https://t.co/6KYerbP3dj
1614897799459635200,2023-01-16 08:10:13+00:00,26106,1276,".@OceanBeverages has some really small news! The popular fruit water is now available in a mini 300 ml bottle too. All the same flavours, electrolytes, vitamins &amp; hydration packed into a new convenient size.
Use code VKOCEAN to get 10% off https://t.co/2JMvdR8Z45
#OceanDrinks #ad https://t.co/DPOqWjPQcv"
1614656206936891395,2023-01-15 16:10:13+00:00,262923,18368,Triumphant series win.  🇮🇳🏆 https://t.co/M0znse1IDe
1614134864063909889,2023-01-14 05:38:35+00:00,395652,14647,♥️ https://t.co/Varl9o8XqD
1613760933981216768,2023-01-13 04:52:43+00:00,15610,1017,"Hardly drive, don't drive because of WFH, extra cars or old cars? Now, with @heydigit Pay As You Drive, agar aapki car chale kam toh premium bhi kam!

Phir Digit Dance toh banta hai, right?

#digitdance #digitcarinsurance #ad https://t.co/jPDYyPFAbH"
1613747772095893509,2023-01-13 04:00:25+00:00,130940,8400,"My best wishes to our Indian men's hockey team for the World Cup. Go and enjoy yourself, we all are backing you. Good luck. 🇮🇳💪"
1613567119547068418,2023-01-12 16:02:34+00:00,123505,6779,Top effort from the boys. We keep fighting. 🇮🇳 https://t.co/TvNFJjCQfY
1613123133204221953,2023-01-11 10:38:19+00:00,420384,20148,My heartbeat is 2 ❤️ https://t.co/DbpI0d67Q9
1612862184224329728,2023-01-10 17:21:24+00:00,195509,12553,A step in the right direction. Great win.🙌 https://t.co/WKQK7LmVsJ
1612380255192510464,2023-01-09 09:26:24+00:00,310773,16024,"Rabba bakshiyan tu enniyan meherbaniyan, hor terto kuch ni mangda, bas tera shukar ada kardan 🙏🙇🏻‍♂️❤️ https://t.co/FuOGkjkBYD"
1611973097820766209,2023-01-08 06:28:30+00:00,40582,2293,"Little things change the world. A small switch to #PlantBased choices can make a big difference to planet Blue. We've seen the change. We hope you will see it too. Because you can't tell the difference, but the planet can😊
@bluetribefoods
#CloserToNature #BlueTribeFoods
#ad https://t.co/MeYh3ZxsNJ"
1611316783553675266,2023-01-06 11:00:32+00:00,29973,1666,"Progress for me is driven by passion, focus and consistency.
Watch me talk about my Story of Progress with @AudiIN

#Astoryofprogress #ad https://t.co/77ysXFEPly"
1610502144762974209,2023-01-04 05:03:27+00:00,36757,1819,"Discover what makes a champion. With Herbalife Nutrition, bring your A game on, anytime, anywhere.
@Herbalifeindia
#ad https://t.co/rhNCuLo1tv"
1609842164426747905,2023-01-02 09:20:56+00:00,40864,1888,"My comfort with my style. One8 innerwear is built for the restless and stitched with attitude. 

Get it now on https://t.co/BeR8Tgpxuw

#ForTheRestless #one8innerwear #one8world #ad

@one8world https://t.co/RdSy4C5V3g"
1609464271142019074,2023-01-01 08:19:19+00:00,237167,11124,❤️2023 https://t.co/FEY5FSl71Q
1609068475036897283,2022-12-31 06:06:34+00:00,279410,12459,To the last sunrise of 2022 ❤️ https://t.co/0k6oVFgzxx
1608756129055789057,2022-12-30 09:25:25+00:00,282259,21770,Get well soon @RishabhPant17. Praying for your recovery. 🙏🏻
1607968382741278723,2022-12-28 05:15:11+00:00,43143,1924,"The Wrognest Maddest Sale is back! 
Click here👉  https://t.co/FUeSfZEXHT and go Wrogn now. 

@myntra @StayWrogn

#StayWrogn #WrognThrowawayFestival #MyntraWTF #ad https://t.co/3eVoeHcj1i"
1606904240475377665,2022-12-25 06:46:40+00:00,217533,12306,2-0. 🏆🇮🇳 https://t.co/wlMRUjIpHt
1605050150446997505,2022-12-20 03:59:10+00:00,26101,1401,"Life ke game mein, I choose bold.
For me, that means playing my game fearlessly and accepting success &amp; failure with grace.
With every choice I make, I choose to be bold.
PLAY YOUR OWN GAME. CHOOSE BOLD.
#royalchallengepackageddrinkingwater #choosebold #royalchallenge #ad https://t.co/yvpatvRGav"
1604689382358728704,2022-12-19 04:05:37+00:00,49019,1925,"A year ago,@OceanBeverages and @BallCorpHQ began a mission to minimize the environmental footprint. Today,with the O’cean Energy Drink Sustainable Can, we’ve collected 300k+ cans to be recycled.Our goal is to collect &amp; recycle every can u consume. Shop https://t.co/KjIujx5Rhz
#ad https://t.co/QEsg8JXjjt"
1602261896177995776,2022-12-12 11:19:39+00:00,156919,9441,Onto the whites 🫶🇮🇳 https://t.co/xN1o512ltz
1602161891094147072,2022-12-12 04:42:16+00:00,28289,1396,"IT'S BACK. India’s Biiiiiiiiiiiiiiggest Fashion Sale, #MyntraEORS is LIVE till 16th December! Download the @myntra app to shop now. #MyntraEORSIsLIVE #MyntraEndOfReasonSale #IndiasBiggestFashionSale #ad https://t.co/M44pKki3R3"
1602145077614481408,2022-12-12 03:35:27+00:00,129641,12442,(2/2) A real blessing to a man who plays his heart out every single time and is the epitome of hard work and dedication and a true inspiration for any sportsperson. You are for me the greatest of all time. 🐐👑 @Cristiano
1602145075525718016,2022-12-12 03:35:27+00:00,320664,31871,(1/2) No trophy or any title can take anything away from what you’ve done in this sport and for sports fans around the world. No title can explain the impact you’ve had on people and what I and so many around the world feel when we watch you play. That’s a gift from god. https://t.co/inKW0rkkpq
1601846850273038336,2022-12-11 07:50:24+00:00,361450,22191,"5 years on a journey for eternity. How blessed Iam to find you , I love you with all my heart ❤️♾️❤️♾️❤️ https://t.co/PISyxaDD6S"
1601817757380538368,2022-12-11 05:54:48+00:00,32403,1873,"Lost my heart ❤️ and my concentration 🤣 to the juicy, tender seekh kebabs. Who wants to stop gorging on something so mouth-watering and delicious 😛. Buy now - https://t.co/QzL3g11rwH

#Blueper #BlueTribeFoods #PlantBasedMeat #CloserToNature #ad

@bluetribefoods https://t.co/aws3FRJqpm"
1601573120519065600,2022-12-10 13:42:42+00:00,213613,15616,Good win. Super knock by Ishan. Onto the tests. 🇮🇳💪 https://t.co/Yo1c2rEa4Q
