id,created_at,favorite_count,retweet_count,text
1616056213980213248,2023-01-19 12:53:20+00:00,6316,169,Dekh rahe ho binod 👀😂 @rajasthanroyals #Raipur https://t.co/gOSucxSNem
1615246208553082880,2023-01-17 07:14:40+00:00,103508,11804,"It was indeed a pleasure meeting the man of masses @tarak9999 
What a gentleman.
Congratulations on the golden globe win. 
We all are proud. 🇮🇳 https://t.co/tw79z2YtAw"
1614646008679649282,2023-01-15 15:29:41+00:00,13213,462,"That's a series wrap 👏🏻

Stellar effort from the team 🇮🇳

Over to Hyderabad next against New Zealand 🙂

#TeamIndia🇮🇳 https://t.co/2FvOuPIUZD"
1613087168188284928,2023-01-11 08:15:25+00:00,14337,186,Kolkata ✈️ https://t.co/nz6oWEHDo4
1612861751623811073,2023-01-10 17:19:41+00:00,21501,700,"Great start to the ODIs and the New Year 
A special way to start the year for King Kohli too 🤙

Kolkata next 

#TeamIndia 🇮🇳 https://t.co/IyZTnUP66B"
1612068347423907845,2023-01-08 12:46:59+00:00,13314,178,Atti sundar @Sundarwashi5👀 #Guwahati ✈️ https://t.co/9yJ2dSNTWr
1611775496559419392,2023-01-07 17:23:18+00:00,49115,1145,"We back, stronger than ever 🇮🇳❤️🏆 https://t.co/0vI51nvHCR"
1611637749425270785,2023-01-07 08:15:56+00:00,2310,46,@paarlroyals What about your tummy my bru 😂😂 @shamsi90
1609855789791072258,2023-01-02 10:15:04+00:00,32302,703,"Fantastic five 😎
All set for the T20I series 🇮🇳

#TeamIndia | #INDvSL https://t.co/pAWq28wkF7"
1609520518197305345,2023-01-01 12:02:49+00:00,58476,846,Happy new year to everyone ❤️ https://t.co/qCh0Ld2joY
1608766427678539778,2022-12-30 10:06:20+00:00,39319,1058,Get well soon brother @RishabhPant17 ❤️🙏🏻
1605950140086378497,2022-12-22 15:35:25+00:00,15031,483,💗 😂 https://t.co/p5ykPJfeCw
1604810369666805761,2022-12-19 12:06:22+00:00,12,0,@iam_abhijeet @chesscom_in Haha no chance bro 😂😂
1604800030296399873,2022-12-19 11:25:17+00:00,18420,278,"Playing with the red ball after 4 long years, this has and always will be the ultimate test #Ranjitrophy #TeamHaryana 🤙 https://t.co/DcjypVdpEC"
1604799056639062018,2022-12-19 11:21:25+00:00,563,6,@chesscom_in Rd8+   1-0
1604544205703217153,2022-12-18 18:28:44+00:00,91503,2806,🐐🙏🏻 https://t.co/AKq2Vk1Aax
1604533632110321664,2022-12-18 17:46:43+00:00,10183,238,Unbelievable final ⚽️ Goosebumps #FIFAWorldCup #ARGFRA
1603603775847280641,2022-12-16 04:11:48+00:00,6489,119,🇮🇳❤️🧿 https://t.co/0bax518BlC
1603350301784039424,2022-12-15 11:24:35+00:00,28442,672,Well bowled lil brother ❤️🇮🇳🧿 @imkuldeep18
1602940738752647170,2022-12-14 08:17:07+00:00,17250,237,Happy birthday 🎂 lil brother @imkuldeep18 ❤️🤗🇮🇳 https://t.co/Mhr2JBJWDy
1600506883873411077,2022-12-07 15:05:51+00:00,56771,3628,Massive respect @ImRo45 bhaiya 🇮🇳
1597654581072523264,2022-11-29 18:11:49+00:00,1651,31,❤️🧿 https://t.co/KlgWQ6WDPW
1597103905196113921,2022-11-28 05:43:38+00:00,15144,197,🤙 https://t.co/RbKxFm0Lu6
1595013158581997570,2022-11-22 11:15:45+00:00,13737,255,🏆🇮🇳 https://t.co/Dle65dX5BG
1594543367362576384,2022-11-21 04:08:58+00:00,15691,411,Bhau 🙏🏻❤️🇮🇳🧿 https://t.co/uYPpcgvWOr
